colonne,MAE_interpolation,MAE_MLP,gain
holed_1,29.211143493652344,30.07002067565918,-0.8588771820068359
holed_2,16.8205623626709,16.001035690307617,0.8195266723632812
holed_3,3.0836896896362305,3.217456579208374,-0.13376688957214355
holed_4,18.442039489746094,18.4678955078125,-0.02585601806640625
holed_5,53.39919662475586,53.265663146972656,0.13353347778320312
holed_6,2.1434876918792725,2.2517433166503906,-0.10825562477111816
holed_7,2.510774850845337,2.480046510696411,0.03072834014892578
holed_8,25.864818572998047,25.885534286499023,-0.020715713500976562
holed_9,8.402969360351562,8.493380546569824,-0.09041118621826172
holed_10,46.51277542114258,46.23777770996094,0.2749977111816406
holed_11,6.363677024841309,6.8470940589904785,-0.4834170341491699
holed_12,6.778145790100098,6.989449501037598,-0.2113037109375
holed_13,2.8675496578216553,3.0880966186523438,-0.22054696083068848
holed_14,5.969410419464111,6.127532482147217,-0.15812206268310547
holed_15,9.142692565917969,9.273730278015137,-0.13103771209716797
holed_16,2.813288927078247,2.887810707092285,-0.07452178001403809
holed_17,48.52740478515625,49.04134750366211,-0.5139427185058594
holed_18,68.09019470214844,65.38512420654297,2.7050704956054688
holed_19,2.3369150161743164,2.2770845890045166,0.059830427169799805
holed_20,14.910383224487305,13.58705997467041,1.3233232498168945
holed_21,4.591087341308594,4.635970115661621,-0.044882774353027344
holed_22,1.9761722087860107,1.9332948923110962,0.04287731647491455
holed_23,2.851137399673462,2.8266282081604004,0.024509191513061523
holed_24,67.68770599365234,67.94131469726562,-0.25360870361328125
holed_25,0.004730368964374065,0.08963616192340851,-0.08490579295903444
holed_26,5.0220746994018555,4.919366836547852,0.1027078628540039
holed_27,8.630552291870117,8.562640190124512,0.06791210174560547
holed_28,1.997125267982483,1.9610493183135986,0.03607594966888428
holed_29,15.107623100280762,15.30864429473877,-0.2010211944580078
holed_30,10.179544448852539,10.102997779846191,0.07654666900634766
holed_31,22.179563522338867,22.64805030822754,-0.4684867858886719
holed_32,5.202937126159668,5.219259262084961,-0.01632213592529297
holed_33,2.031637668609619,2.0450830459594727,-0.013445377349853516
holed_34,5.263998508453369,5.036923885345459,0.22707462310791016
holed_35,6.3466691970825195,6.337187767028809,0.009481430053710938
holed_36,9.359823226928711,9.07961654663086,0.28020668029785156
holed_37,18.644628524780273,18.495643615722656,0.1489849090576172
holed_38,0.9779924750328064,0.9397299289703369,0.03826254606246948
holed_39,2.9258906841278076,3.0844390392303467,-0.15854835510253906
holed_40,2.619678258895874,3.034785032272339,-0.41510677337646484
holed_41,5.667020797729492,5.7153544425964355,-0.04833364486694336
holed_42,30.05998992919922,30.028730392456055,0.03125953674316406
holed_43,11.310731887817383,11.26323413848877,0.04749774932861328
holed_44,36.14280700683594,37.53541564941406,-1.392608642578125
holed_45,25.144817352294922,24.444093704223633,0.7007236480712891
holed_46,3.8293118476867676,3.791921377182007,0.03739047050476074
holed_47,3.6274044513702393,3.6634445190429688,-0.03604006767272949
holed_48,9.24820327758789,9.220592498779297,0.02761077880859375
holed_49,3.815109968185425,3.9490718841552734,-0.13396191596984863
holed_50,0.0,0.06608572602272034,-0.06608572602272034
